Year,Location,Type,Average price,Average price(m2)
2008,Andalusia,New,"168,481.19","1,853.32"
2008,Andalusia,Second hand,"145,240.69","1,619.51"
2008,Aragon,New,"175,732.30","2,220.50"
2008,Aragon,Second hand,"161,327.06","1,848.46"
2008,Asturias,New,"152,617.83","2,000.55"
2008,Asturias,Second hand,"118,435.44","1,486.44"
2008,Balearic Islands,New,"246,523.44","2,585.16"
2008,Balearic Islands,Second hand,"208,791.94","2,247.02"
2008,Canary Islands,New,"162,635.75","2,045.74"
2008,Canary Islands,Second hand,"132,990.96","1,775.13"
2008,Cantabria,New,"164,932.19","2,023.67"
2008,Cantabria,Second hand,"171,771.85","2,125.40"
2008,Castilla and Leon,New,"150,384.20","1,697.99"
2008,Castilla and Leon,Second hand,"129,237.27","1,383.25"
2008,Castilla-La Mancha,New,"172,212.58","1,774.95"
2008,Castilla-La Mancha,Second hand,"123,523.12","1,160.80"
2008,Catalonia,New,"224,704.51","2,851.16"
2008,Catalonia,Second hand,"219,191.40","2,778.33"
2008, Valencian Community,New,"176,605.94","1,894.68"
2008, Valencian Community,Second hand,"143,661.83","1,601.10"
2008,Extremadura,New,"120,756.68","1,199.42"
2008,Extremadura,Second hand,"89,570.56",828.57
2008,Galicia,New,"131,271.31","1,680.79"
2008,Galicia,Second hand,"117,830.68","1,434.34"
2008,Madrid,New,"259,249.06","2,945.11"
2008,Madrid,Second hand,"252,520.73","3,033.16"
2008,Murcia,New,"149,597.41","1,694.54"
2008,Murcia,Second hand,"124,233.75","1,268.40"
2008,Navarra,New,"194,718.32","2,024.89"
2008,Navarra,Second hand,"187,883.82","1,945.42"
2008,Basque Country,New,"277,793.28","3,085.29"
2008,Basque Country,Second hand,"247,630.36","3,092.88"
2008,Rioja (La),New,"188,967.75","2,204.60"
2008,Rioja (La),Second hand,"144,405.89","1,489.74"
2009,Andalusia,New,"163,925.99","1,769.56"
2009,Andalusia,Second hand,"144,046.75","1,553.98"
2009,Aragon,New,"182,626.06","2,102.97"
2009,Aragon,Second hand,"157,518.44","1,800.59"
2009,Asturias,New,"157,227.81","2,051.68"
2009,Asturias,Second hand,"117,271.56","1,450.16"
2009,Balearic Islands,New,"227,607.32","2,320.37"
2009,Balearic Islands,Second hand,"186,523.64","1,955.38"
2009,Canary Islands,New,"161,809.37","1,949.38"
2009,Canary Islands,Second hand,"124,869.68","1,627.69"
2009,Cantabria,New,"166,090.31","1,998.16"
2009,Cantabria,Second hand,"163,593.88","1,968.01"
2009,Castilla and Leon,New,"158,546.73","1,769.60"
2009,Castilla and Leon,Second hand,"130,823.42","1,339.38"
2009,Castilla-La Mancha,New,"154,306.59","1,579.24"
2009,Castilla-La Mancha,Second hand,"124,084.77","1,151.29"
2009,Catalonia,New,"229,626.72","2,773.99"
2009,Catalonia,Second hand,"202,917.90","2,489.40"
2009, Valencian Community,New,"172,678.03","1,800.29"
2009, Valencian Community,Second hand,"127,759.55","1,412.12"
2009,Extremadura,New,"144,348.46","1,400.18"
2009,Extremadura,Second hand,"94,176.65",848.41
2009,Galicia,New,"135,803.74","1,680.81"
2009,Galicia,Second hand,"120,958.46","1,449.85"
2009,Madrid,New,"250,402.59","2,753.19"
2009,Madrid,Second hand,"239,197.69","2,692.07"
2009,Murcia,New,"150,335.73","1,620.38"
2009,Murcia,Second hand,"121,106.28","1,217.07"
2009,Navarra,New,"188,498.16","2,075.31"
2009,Navarra,Second hand,"176,532.85","1,909.34"
2009,Basque Country,New,"258,277.19","2,918.81"
2009,Basque Country,Second hand,"227,255.48","2,783.18"
2009,Rioja (La),New,"207,913.21","2,368.32"
2009,Rioja (La),Second hand,"138,143.30","1,430.00"
2010,Andalusia,New,"160,367.28","1,713.30"
2010,Andalusia,Second hand,"143,154.72","1,506.46"
2010,Aragon,New,"186,222.86","2,045.33"
2010,Aragon,Second hand,"159,234.71","1,771.86"
2010,Asturias,New,"156,742.15","2,019.58"
2010,Asturias,Second hand,"127,054.96","1,536.49"
2010,Balearic Islands,New,"217,917.90","2,253.57"
2010,Balearic Islands,Second hand,"184,385.67","1,934.85"
2010,Canary Islands,New,"162,321.97","1,848.24"
2010,Canary Islands,Second hand,"122,923.48","1,574.95"
2010,Cantabria,New,"173,151.65","1,995.84"
2010,Cantabria,Second hand,"157,896.61","1,903.67"
2010,Castilla and Leon,New,"155,605.54","1,664.26"
2010,Castilla and Leon,Second hand,"135,329.25","1,367.03"
2010,Castilla-La Mancha,New,"143,063.46","1,472.51"
2010,Castilla-La Mancha,Second hand,"132,726.03","1,193.04"
2010,Catalonia,New,"232,322.78","2,716.55"
2010,Catalonia,Second hand,"200,276.81","2,393.69"
2010, Valencian Community,New,"175,781.67","1,828.46"
2010, Valencian Community,Second hand,"127,734.82","1,378.44"
2010,Extremadura,New,"128,037.89","1,265.97"
2010,Extremadura,Second hand,"99,415.31",888.41
2010,Galicia,New,"136,114.27","1,720.05"
2010,Galicia,Second hand,"127,568.46","1,457.07"
2010,Madrid,New,"249,544.76","2,605.31"
2010,Madrid,Second hand,"239,673.61","2,635.38"
2010,Murcia,New,"145,327.84","1,492.88"
2010,Murcia,Second hand,"122,816.32","1,205.49"
2010,Navarra,New,"186,957.27","1,982.23"
2010,Navarra,Second hand,"173,793.64","1,824.96"
2010,Basque Country,New,"249,233.35","2,865.66"
2010,Basque Country,Second hand,"239,607.32","2,978.02"
2010,Rioja (La),New,"188,946.18","2,108.93"
2010,Rioja (La),Second hand,"141,051.20","1,363.88"
2011,Andalusia,New,"150,456.20","1,618.13"
2011,Andalusia,Second hand,"136,583.63","1,423.27"
2011,Aragon,New,"172,794.66","1,992.21"
2011,Aragon,Second hand,"130,683.46","1,482.51"
2011,Asturias,New,"156,512.88","1,931.96"
2011,Asturias,Second hand,"118,678.02","1,417.27"
2011,Balearic Islands,New,"253,015.09","2,489.75"
2011,Balearic Islands,Second hand,"187,140.93","1,894.86"
2011,Canary Islands,New,"142,338.54","1,622.38"
2011,Canary Islands,Second hand,"115,629.07","1,506.68"
2011,Cantabria,New,"154,904.95","1,771.74"
2011,Cantabria,Second hand,"145,674.53","1,741.94"
2011,Castilla and Leon,New,"147,475.61","1,531.69"
2011,Castilla and Leon,Second hand,"119,720.60","1,208.99"
2011,Castilla-La Mancha,New,"167,951.86","1,719.74"
2011,Castilla-La Mancha,Second hand,"110,177.94","1,008.19"
2011,Catalonia,New,"207,964.61","2,459.18"
2011,Catalonia,Second hand,"175,097.40","2,075.37"
2011, Valencian Community,New,"157,214.42","1,653.86"
2011, Valencian Community,Second hand,"111,109.51","1,229.51"
2011,Extremadura,New,"137,092.48","1,199.76"
2011,Extremadura,Second hand,"114,492.18",953.76
2011,Galicia,New,"137,760.54","1,712.05"
2011,Galicia,Second hand,"113,034.81","1,310.91"
2011,Madrid,New,"230,949.42","2,656.81"
2011,Madrid,Second hand,"212,698.06","2,345.45"
2011,Murcia,New,"135,322.86","1,398.63"
2011,Murcia,Second hand,"109,123.68","1,096.86"
2011,Navarra,New,"177,071.87","1,954.79"
2011,Navarra,Second hand,"160,096.71","1,669.82"
2011,Basque Country,New,"288,442.99","3,051.78"
2011,Basque Country,Second hand,"224,216.37","2,729.69"
2011,Rioja (La),New,"158,266.73","1,843.71"
2011,Rioja (La),Second hand,"126,063.49","1,208.08"
2012,Andalusia,New,"141,502.47","1,431.87"
2012,Andalusia,Second hand,"116,889.41","1,198.91"
2012,Aragon,New,"164,041.00","1,777.92"
2012,Aragon,Second hand,"114,308.29","1,247.20"
2012,Asturias,New,"146,615.23","1,732.13"
2012,Asturias,Second hand,"104,675.30","1,193.23"
2012,Balearic Islands,New,"226,567.77","2,138.86"
2012,Balearic Islands,Second hand,"173,834.38","1,703.65"
2012,Canary Islands,New,"169,003.43","1,817.88"
2012,Canary Islands,Second hand,"103,265.01","1,302.97"
2012,Cantabria,New,"137,981.65","1,530.24"
2012,Cantabria,Second hand,"130,681.99","1,506.99"
2012,Castilla and Leon,New,"135,035.70","1,357.34"
2012,Castilla and Leon,Second hand,"103,391.04","1,032.65"
2012,Castilla-La Mancha,New,"144,201.17","1,252.77"
2012,Castilla-La Mancha,Second hand,"93,586.20",801.16
2012,Catalonia,New,"210,579.96","2,381.60"
2012,Catalonia,Second hand,"150,323.59","1,733.87"
2012, Valencian Community,New,"151,859.08","1,595.77"
2012, Valencian Community,Second hand,"95,946.25","1,047.88"
2012,Extremadura,New,"105,670.97","1,038.65"
2012,Extremadura,Second hand,"109,355.04",915.78
2012,Galicia,New,"124,594.78","1,502.33"
2012,Galicia,Second hand,"100,730.17","1,134.05"
2012,Madrid,New,"216,025.12","2,158.78"
2012,Madrid,Second hand,"184,739.66","2,003.52"
2012,Murcia,New,"121,327.79","1,211.74"
2012,Murcia,Second hand,"93,989.72",912.61
2012,Navarra,New,"180,977.35","1,834.91"
2012,Navarra,Second hand,"136,348.11","1,421.07"
2012,Basque Country,New,"256,993.99","2,842.84"
2012,Basque Country,Second hand,"197,882.80","2,430.66"
2012,Rioja (La),New,"132,068.46","1,493.64"
2012,Rioja (La),Second hand,"142,259.83","1,368.30"
2013,Andalusia,New,"145,351.50","1,468.08"
2013,Andalusia,Second hand,"111,099.49","1,137.32"
2013,Aragon,New,"120,310.77","1,193.88"
2013,Aragon,Second hand,"98,584.22","1,077.01"
2013,Asturias,New,"131,936.81","1,574.15"
2013,Asturias,Second hand,"95,822.01","1,136.66"
2013,Balearic Islands,New,"234,401.79","2,228.95"
2013,Balearic Islands,Second hand,"169,276.00","1,691.01"
2013,Canary Islands,New,"195,013.58","2,020.06"
2013,Canary Islands,Second hand,"103,428.12","1,314.89"
2013,Cantabria,New,"123,963.02","1,350.85"
2013,Cantabria,Second hand,"119,782.10","1,340.51"
2013,Castilla and Leon,New,"112,737.72","1,103.02"
2013,Castilla and Leon,Second hand,"91,372.70",898.72
2013,Castilla-La Mancha,New,"115,363.00","1,064.06"
2013,Castilla-La Mancha,Second hand,"81,979.05",718.38
2013,Catalonia,New,"195,051.68","2,060.29"
2013,Catalonia,Second hand,"136,478.66","1,585.08"
2013, Valencian Community,New,"130,649.47","1,351.21"
2013, Valencian Community,Second hand,"86,360.65",949.74
2013,Extremadura,New,"89,954.16",759.29
2013,Extremadura,Second hand,"85,992.62",728.32
2013,Galicia,New,"103,001.36","1,252.58"
2013,Galicia,Second hand,"92,146.70","1,053.64"
2013,Madrid,New,"202,675.21","2,038.61"
2013,Madrid,Second hand,"171,621.52","1,861.11"
2013,Murcia,New,"107,385.12","1,032.46"
2013,Murcia,Second hand,"81,200.07",795.05
2013,Navarra,New,"191,184.49","1,924.56"
2013,Navarra,Second hand,"135,167.47","1,412.71"
2013,Basque Country,New,"252,750.96","2,927.63"
2013,Basque Country,Second hand,"187,268.48","2,254.30"
2013,Rioja (La),New,"111,791.00","1,228.53"
2013,Rioja (La),Second hand,"112,221.79","1,114.04"
2014,Andalusia,New,"124,198.34","1,234.57"
2014,Andalusia,Second hand,"112,856.41","1,153.12"
2014,Aragon,New,"147,173.51","1,399.10"
2014,Aragon,Second hand,"103,921.38","1,105.77"
2014,Asturias,New,"131,892.53","1,595.06"
