"
Autonomous communities",Gender,Measurements and percentiles,Year,Total
National Total,Both genders,Average,2021,"25.896,82"
National Total,Both genders,Average,2020,"25.165,51"
National Total,Both genders,Average,2019,"24.395,98"
National Total,Both genders,Average,2018,"24.009,12"
National Total,Both genders,Average,2017,"23.646,50"
National Total,Both genders,Average,2016,"23.156,34"
National Total,Both genders,Average,2015,"23.106,30"
National Total,Both genders,Average,2014,"22.858,17"
National Total,Both genders,Average,2013,"22.697,86"
National Total,Both genders,Average,2012,"22.726,44"
National Total,Both genders,Average,2011,"22.899,35"
National Total,Both genders,Average,2010,"22.790,20"
National Total,Both genders,Average,2009,"22.511,47"
National Total,Both genders,Average,2008,"21.883,42"
National Total,Both genders,Median,2021,"21.638,69"
National Total,Both genders,Median,2020,"20.920,12"
National Total,Both genders,Median,2019,"20.351,02"
National Total,Both genders,Median,2018,"20.078,44"
National Total,Both genders,Median,2017,"19.830,12"
National Total,Both genders,Median,2016,"19.432,62"
National Total,Both genders,Median,2015,"19.466,49"
National Total,Both genders,Median,2014,"19.263,78"
National Total,Both genders,Median,2013,"19.029,66"
National Total,Both genders,Median,2012,"19.040,98"
National Total,Both genders,Median,2011,"19.303,51"
National Total,Both genders,Median,2010,"19.017,09"
National Total,Both genders,Median,2009,"18.803,28"
National Total,Both genders,Median,2008,"18.244,40"
National Total, Women,Average,2021,"23.175,95"
National Total, Women,Average,2020,"22.467,48"
National Total, Women,Average,2019,"21.682,02"
National Total, Women,Average,2018,"21.011,89"
National Total, Women,Average,2017,"20.607,85"
National Total, Women,Average,2016,"20.131,41"
National Total, Women,Average,2015,"20.051,58"
National Total, Women,Average,2014,"19.744,82"
National Total, Women,Average,2013,"19.514,58"
National Total, Women,Average,2012,"19.537,33"
National Total, Women,Average,2011,"19.767,59"
National Total, Women,Average,2010,"19.735,22"
National Total, Women,Average,2009,"19.502,02"
National Total, Women,Average,2008,"18.910,62"
National Total, Women,Median,2021,"19.162,47"
National Total, Women,Median,2020,"18.556,68"
National Total, Women,Median,2019,"17.961,93"
National Total, Women,Median,2018,"17.467,43"
National Total, Women,Median,2017,"17.214,60"
National Total, Women,Median,2016,"16.831,58"
National Total, Women,Median,2015,"16.825,11"
National Total, Women,Median,2014,"16.771,32"
National Total, Women,Median,2013,"16.452,43"
National Total, Women,Median,2012,"16.524,51"
National Total, Women,Median,2011,"16.796,41"
National Total, Women,Median,2010,"16.536,10"
National Total, Women,Median,2009,"16.433,14"
National Total, Women,Median,2008,"15.886,02"
National Total,Men,Average,2021,"28.388,69"
National Total,Men,Average,2020,"27.642,52"
National Total,Men,Average,2019,"26.934,38"
National Total,Men,Average,2018,"26.738,19"
National Total,Men,Average,2017,"26.391,84"
National Total,Men,Average,2016,"25.924,43"
National Total,Men,Average,2015,"25.992,76"
National Total,Men,Average,2014,"25.727,24"
National Total,Men,Average,2013,"25.675,17"
National Total,Men,Average,2012,"25.682,05"
National Total,Men,Average,2011,"25.667,89"
National Total,Men,Average,2010,"25.479,74"
National Total,Men,Average,2009,"25.001,05"
National Total,Men,Average,2008,"24.203,33"
National Total,Men,Median,2021,"23.490,62"
National Total,Men,Median,2020,"22.774,10"
National Total,Men,Median,2019,"22.368,07"
National Total,Men,Median,2018,"22.241,88"
National Total,Men,Median,2017,"21.970,34"
National Total,Men,Median,2016,"21.626,00"
National Total,Men,Median,2015,"21.740,88"
National Total,Men,Median,2014,"21.528,50"
National Total,Men,Median,2013,"21.371,13"
National Total,Men,Median,2012,"21.425,14"
National Total,Men,Median,2011,"21.487,99"
National Total,Men,Median,2010,"21.206,99"
National Total,Men,Median,2009,"20.730,71"
National Total,Men,Median,2008,"20.057,56"
Andalusia,Both genders,Average,2023,"24.116,43"
Andalusia,Both genders,Average,2022,"24.094,32"
Andalusia,Both genders,Average,2021,"23.154,99"
Andalusia,Both genders,Average,2020,"22.323,85"
Andalusia,Both genders,Average,2019,"22.060,99"
Andalusia,Both genders,Average,2018,"21.805,92"
Andalusia,Both genders,Average,2017,"21.404,28"
Andalusia,Both genders,Average,2016,"21.268,41"
Andalusia,Both genders,Average,2015,"21.381,03"
Andalusia,Both genders,Average,2014,"20.840,30"
Andalusia,Both genders,Average,2013,"20.782,03"
Andalusia,Both genders,Average,2012,"20.891,63"
Andalusia,Both genders,Average,2011,"21.350,98"
Andalusia,Both genders,Average,2010,"20.964,36"
Andalusia,Both genders,Average,2009,"20.906,33"
Andalusia,Both genders,Average,2008,"20.138,56"
Andalusia,Both genders,Median,2021,"19.522,21"
Andalusia,Both genders,Median,2020,"18.766,66"
Andalusia,Both genders,Median,2019,"18.671,83"
Andalusia,Both genders,Median,2018,"18.317,19"
Andalusia,Both genders,Median,2017,"18.251,94"
Andalusia,Both genders,Median,2016,"18.051,91"
Andalusia,Both genders,Median,2015,"18.101,70"
Andalusia,Both genders,Median,2014,"18.034,03"
Andalusia,Both genders,Median,2013,"17.722,42"
Andalusia,Both genders,Median,2012,"17.910,11"
Andalusia,Both genders,Median,2011,"18.193,56"
Andalusia,Both genders,Median,2010,"17.565,81"
Andalusia,Both genders,Median,2009,"17.866,08"
Andalusia,Both genders,Median,2008,"17.371,95"
Andalusia, Women,Average,2021,"20.427,80"
Andalusia, Women,Average,2020,"19.517,52"
Andalusia, Women,Average,2019,"19.391,52"
